_index,id,isSpecial,stepType,name,image,position,state,action,image2,position2,state2,action2,textId,aside,asideBg,num,sound,backgroundSound,background,funName,picture,dataId,changeType,dateName,dateMark,_trailingBytes,nameResolved,textResolved,dateNameResolved
0,70001,1,1,max_battle_role_02,ailin_wx,2,1,5,,0,0,0,fwdate_001,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378,,長期光顧的熟客贈送一張高級咖啡豆優惠券，下一次進貨時能夠獲得雙倍原料。<Color=#228B22>（下次獲得的獎勵翻倍，不包括精英）</Color>,
1,70002,1,1,max_battle_role_01,aide_sl,2,1,5,,0,0,0,fwdate_002,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378,,宅男團集體使用「痛充電寶」導致跳閘，售賣商品一定時間內無法結算。<Color=#FF0000>（下次獲得的獎勵無效，不包括精英）</Color>,
2,70003,1,1,max_battle_role_01,aide_wx,2,1,5,,0,0,0,fwdate_003,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378,,你發動女僕專屬技能“萌力全開”，快速完成100杯訂單，再次獲得200杯訂單。<Color=#228B22>（當前已獲得的獎勵翻倍，不包括精英）</Color>,
3,70004,1,1,max_battle_role_01,aide_sl,2,1,9,,0,0,0,fwdate_004,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378,,參加「萌系甜點大賽」時烤焦三盤曲奇，並在滅火時撞翻放在操作臺的麵粉。<Color=#FF0000>（損失了1件物品）</Color>,
4,70005,1,1,max_battle_role_01,aide_jj,2,1,9,,0,0,0,fwdate_005,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378,,與虛擬偶像聯動直播時，誤將螢光棒當作攪拌棒投入咖啡機引發劇烈爆炸。<Color=#FF0000>（損失2件物品）</Color>,
5,70006,1,1,liuming,liuming,2,1,9,,0,0,0,fwdate_006,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378,女僕,暴雨中配送「獸耳便當盒」，女僕們配送的商品被突如其來的洪水沖走。<Color=#FF0000>（損失3件物品）</Color>,
6,70007,1,1,max_battle_role_01,aide_hunt,2,1,9,,0,0,0,fwdate_007,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378,,小學生闖入後廚玩「廚房過家家」，點燃廚房的物資和商品，雖然火災很快被撲滅，還是損失了大量半成品。<Color=#FF0000>（損失了4件物品）</Color>,
7,70008,1,1,max_battle_role_01,aide_hunt,2,1,9,,0,0,0,fwdate_008,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378,,「顧客VS女僕日」混戰中，狂熱的粉絲擠進咖啡店，擁擠的人流造成巨大的混亂，櫃檯的商品受到不同程度的損壞。<Color=#FF0000>（損失5件物品）</Color>,
8,70009,1,1,liuming,liuming,2,1,5,,0,0,0,fwdate_009,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378,女僕,偶像聲優的素人替身姐妹花入職，外貌相似度引發雙胞胎應聘熱潮。<Color=#228B22>（本輪已獲得女僕數量翻倍）</Color>,
9,70010,1,1,liuming,liuming,2,1,5,,0,0,0,fwdate_010,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378,女僕,部分女僕被甜品店挖角成為「試吃網紅」，辭職信寫著“去追尋奶油人生”。<Color=#FF0000>（失去了10%本輪已獲得女僕）</Color>,
10,70011,1,1,max_battle_role_01,aide_jj,2,1,9,,0,0,0,fwdate_011,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378,,許多女僕沉迷《女僕榮耀》手遊，大家相約集體離職前往其他城市的線下賽場觀賽。<Color=#FF0000>（失去了20%本輪已獲得女僕）</Color>,
11,70012,1,1,max_battle_role_02,ailin_hp,2,1,9,,0,0,0,fwdate_012,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378,,《整人大賞》的嘉賓偽裝成客人惡搞，導致許多女僕因為受到嚴重驚嚇提交辭呈。<Color=#FF0000>（失去了30%本輪已獲得女僕）</Color>,
12,70013,1,1,liuming,liuming,2,1,9,,0,0,0,fwdate_013,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378,女僕,電路老化導致全店黑暗，大量女僕自發組成“光明特攻隊”前往批發市場，卻因沉迷試吃草莓樣品再也沒有回來。<Color=#FF0000>（失去了40%本輪已獲得女僕）</Color>,
13,80001,1,1,,,0,0,0,,0,0,0,rogue_story_1001,1,,0,,,Roguelike_bg_01,SpriteFromRogue,Dialogbox_01,80002,7,,0,378,,虛無裂隙,
