DialogID,NpcID,SkinID,AnimType,FacialType,DialogType,AudioName,KOR,KOR_LineSpace,KOR_CharSpace,ENG,ENG_LineSpace,ENG_CharSpace,JP,JP_LineSpace,JP_CharSpace,ZH_CHT,ZH_CHT_LineSpace,ZH_CHT_CharSpace,ZH_CHS,ZH_CHS_LineSpace,ZH_CHS_CharSpace,row_index,record_offset
1,1001,0,0,0,16,Customer/Voice_RIN_Complete_1,좋은 상태예요!\n이대로\n보고하겠습니다!,0.0,0.0,It’s in great shape! I’ll report it just like this!,0.0,0.0,よい状態です！このまま報告します！,0.0,0.0,狀態良好！我會如實回報的！,0.0,0.0,状态良好！我会如实回报的！,0.0,0.0,0,24592
2,1001,0,0,0,16,Customer/Voice_RIN_Complete_1,좋은 상태예요!\n이대로\n보고하겠습니다!,0.0,0.0,It’s in great shape! I’ll report it just like this!,0.0,0.0,よい状態です！このまま報告します！,0.0,0.0,狀態良好！我會如實回報的！,0.0,0.0,状态良好！我会如实回报的！,0.0,0.0,1,24956
3,1001,0,0,0,6,,여기가 그분이 있는\n카페가 맞나요?,0.0,0.0,Is this the cafe where that person is?,0.0,0.0,ここが、あの方がいるカフェですか？,0.0,0.0,這裡是那位所在的咖啡廳沒錯吧？,0.0,0.0,这里是那位所在的咖啡厅没错吧？,0.0,0.0,2,25320
4,1001,0,0,0,6,,언제 또 다른 카페를 가지…….,0.0,0.0,When will I have to visit another cafe…,0.0,0.0,いつ他のカフェに行けるかな……。,0.0,0.0,怎麼又換了咖啡廳了……,0.0,0.0,怎么又换了咖啡厅了……,0.0,0.0,3,25644
5,1001,0,0,0,6,,감사팀장도 쉬운 직업이\n아니네요…….,0.0,0.0,Being an audit manager isn’t easy either…,0.0,0.0,秘書も簡単じゃありませんね……。,0.0,0.0,祕書也不好當呢……,0.0,0.0,秘书也不好当呢……,0.0,0.0,4,25940
6,1001,0,0,0,6,,평가 기준은-,0.0,0.0,As for the evaluation criteria—,0.0,0.0,評価の基準はー。,0.0,0.0,評估標準是……,0.0,0.0,评估标准是……,0.0,0.0,5,26236
7,1001,0,0,0,6,,"읏, 무심코\n너무 많이 먹었나?!",0.0,0.0,"Oops, did I eat too much without realizing?!",0.0,0.0,っ、つい食べすぎちゃったかな!?,0.0,0.0,呃，不小心吃太多了嗎？！,0.0,0.0,呃，不小心吃太多了吗？ ！,0.0,0.0,6,26452
8,1001,0,0,0,6,,이 카페는\n냄새부터 다르네요!,0.0,0.0,This cafe smells different from the rest!,0.0,0.0,このカフェは匂いから違いますね！,0.0,0.0,這間咖啡廳光是香氣就不一樣呢！,0.0,0.0,这间咖啡厅光是香气就不一样呢！,0.0,0.0,7,26748
9,1001,0,0,0,6,,여기서 좀\n쉬고 싶네요…….,0.0,0.0,I’d love to rest here for a bit…,0.0,0.0,ここでちょっと休みたいです……。,0.0,0.0,我想在這裡休息一下……,0.0,0.0,我想在这里休息一下……,0.0,0.0,8,27068
10,1001,0,0,0,6,,예상외의 결과를\n보여주네요!,0.0,0.0,This is showing unexpected results!,0.0,0.0,予想外の結果を見せてくれましたね！,0.0,0.0,結果很出乎意料呢！,0.0,0.0,结果很出乎意料呢！,0.0,0.0,9,27352
11,1001,0,0,0,6,,이 정도면\n학원장님도\n만족하시겠어!,0.0,0.0,This should be enough to satisfy the Principal!,0.0,0.0,これなら、学園長も満足するかも！,0.0,0.0,這種結果學園長也會滿意的！,0.0,0.0,这种结果学园长也会满意的！,0.0,0.0,10,27624
12,1001,0,0,0,6,Customer/Voice_RIN_Touch_1,더 이상 머지가\n되지 않는 물품을\n회수하러 왔습니다!,0.0,0.0,I've come to collect items that can no longer be merged!,0.0,0.0,もうマージできない物品を回収しに来ました！,0.0,0.0,我來回收無法再合併的物品！,0.0,0.0,我来回收无法再合并的物品！,0.0,0.0,11,27940
13,1002,0,0,0,5,,마스터-잠시 여기\n좀 봐주세요-!,0.0,0.0,"Master, could you come over here for a second?",0.0,0.0,マスター、ちょっとここを見てください！,0.0,0.0,大師，路上小心！,0.0,0.0,大师，路上小心！,0.0,0.0,12,28332
